cell_id,lat,lon,risk
21.087_79.1145,21.087,79.11449999999999,0.6498569250106812
21.087_79.119,21.087,79.119,0.5835327506065369
21.0915_79.047,21.0915,79.047,0.648727297782898
21.0915_79.0515,21.0915,79.05149999999999,0.6909700036048889
21.0915_79.1145,21.0915,79.11449999999999,0.6272672414779663
21.0915_79.119,21.0915,79.119,0.6125072836875916
21.096_79.047,21.096,79.047,0.7091879844665527
21.096_79.0515,21.096,79.05149999999999,0.6362666487693787
21.1005_79.0605,21.1005,79.06049999999999,0.3695429265499115
21.1005_79.065,21.1005,79.065,0.27353382110595703
21.105_78.975,21.105,78.975,0.6626957058906555
21.105_78.9795,21.105,78.97949999999999,0.5588161945343018
21.105_79.0605,21.105,79.06049999999999,0.17323416471481323
21.105_79.065,21.105,79.065,0.1613156795501709
21.1095_78.975,21.1095,78.975,0.5642016530036926
21.1095_78.9795,21.1095,78.97949999999999,0.5813389420509338
21.114_79.0695,21.114,79.06949999999999,0.6599143147468567
21.114_79.1145,21.114,79.11449999999999,0.2504345774650574
21.114_79.119,21.114,79.119,0.5874324440956116
21.1185_79.0695,21.1185,79.06949999999999,0.6103130578994751
21.1185_79.1145,21.1185,79.11449999999999,0.4526298940181732
21.1185_79.119,21.1185,79.119,0.674405574798584
21.123_79.0515,21.123,79.05149999999999,0.4561993479728699
21.123_79.056,21.123,79.056,0.10449767112731934
21.1275_79.083,21.1275,79.083,0.12759606540203094
21.132_79.0605,21.132,79.06049999999999,0.5217713713645935
21.132_79.065,21.132,79.065,0.596294105052948
21.132_79.101,21.132,79.101,0.6754785180091858
21.132_79.1055,21.132,79.10549999999999,0.6538398265838623
21.1365_79.0605,21.1365,79.06049999999999,0.6683720350265503
21.1365_79.065,21.1365,79.065,0.2694544792175293
21.1365_79.0695,21.1365,79.06949999999999,0.1813112050294876
21.1365_79.101,21.1365,79.101,0.3961452543735504
21.1365_79.1055,21.1365,79.10549999999999,0.5870514512062073
21.141_79.065,21.141,79.065,0.1458621621131897
21.141_79.0695,21.141,79.06949999999999,0.20667476952075958
21.141_79.083,21.141,79.083,0.3770911991596222
21.141_79.0875,21.141,79.08749999999999,0.5577698945999146
21.1545_79.1055,21.1545,79.10549999999999,0.6427215337753296
21.1545_79.11,21.1545,79.11,0.6249977946281433
21.159_79.1055,21.159,79.10549999999999,0.39696067571640015
21.159_79.11,21.159,79.11,0.6241910457611084
21.15_79.074,21.15,79.074,0.262597918510437
21.15_79.0785,21.15,79.07849999999999,0.24115949869155884
21.168_79.056,21.168,79.056,0.6300802826881409
21.168_79.0605,21.168,79.06049999999999,0.5834193229675293
